CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal diagnosis - GPT
29;29;0;0;1,0;"A6, M4, M1
M5, A1
A3, M5, A6
A3, A6, M1
M5, A5
A3, A4, A6
M5, A2, A6
A4, A5
M5, M2, A6
M4, A6, M3
M1, A5
A3, A6, M3
M5, M1
M4, A6, A1
A3, A6, A1
A6, M2, M1
M5, A4
A4, M2, A6
M5, M4, A6
A2, A6, M3
A4, A2, A6
M3, A5
M2, A6, M3
A6, A2, M1
A1, A5
A2, A6, A1
M2, A6, A1
M5, M3
A4, M4, A6"
25;25;0;0;1,0;"A4, M4
M4, M1
M5, A2, A5
M5, M2, A5
M3, A6, A5
A2, M3
M2, M3
A4, M2
M5, A6
A3, M3
A2, A1
M2, A1
A3, A1
M5, M4, A5
M4, M3
A4, A2
A2, M1
M2, M1
A6, A1, A5
A3, M1
M4, A1
A3, A4
A6, M1, A5
A4, A6, A5
A3, M5, A5"
9;9;0;0;1,0;"M4
M5, A6, A1
A3
A2
M5, A6, M3
A6, A5
M2
A6, M5, M1
M5, A6, A4"
0;0;0;0;1,0;
34;23;11;26;0,46938775510204084;"A3, M7
M2, M8, M5
A5, M3
M1, A2, A6
M5, A6, M3
A6, A5
M2
A6, M5, M1
M5, A6, A4
A4, M2
M5, A1
A3, A1
M2, A1
A3, A5
M5, A4
M4, A1
A2, A1
M2, A5
M5, A2
M4, A5
M5, A1
M5, M4
M2, M1
M6, M5, A1
M3, M7
M5, A4, M7
M5, A1, A4
M5, A6, M7
M2, A2
M4, A5
A2, M7
M2, M7
M5, M8, M1
M6, M5, M1"
37;37;0;0;1,0;"A3, M7
A5, M3
M1, M3
M4, M1
M9, A1
M5, M8, M7
M6, M5, M7
M9, A5
M5, M1, A4
M5, A6, A1
M4, M7
A2, A1
M5, A6, A5
M9, M1
A2, A5
A3, A1
A3, A5
M5, M8, A1
A2, M1
M9, M7
A1, M3
M6, M5, A1
M3, M7
M5, M8, A5
M2
M6, M5, A5
A3, M1
M4, A1
A4, M7, M5
M5, A1, A4
M5, A6, M7
M4, A5
A2, M7
M5, M8, M1
A5, M5, A4
M6, M5, M1
A6, M5, M1"
29;10;19;155;0,06060606060606061;"A3, M8, M1
M2, A1, A5
M1, A2, A6
M5, A6, M3
A5, A6, A1
A3, A4, A6
M5, A2, A6
A4, A5
M5, M2, A6
M4, A6, M3
M1, A5
A3, A6, M3
M5, M1
M4, A6, A1
A3, A6, A1
A6, M2, M1
M5, A4
A4, M2, A6
M5, M4, A6
A2, A6, M3
A4, A2, A6
M3, A5
M2, A6, M3
A6, A2, M1
A1, A5
A2, A6, A1
M2, A6, A1
M5, M3
A4, M4, A6"
37;37;0;0;1,0;"M6, M2, M1
A4, M4
M9, M8
M6, M3
M2, M8, A1
M2, M8, A5
M6, M4
M9, A6
A2, M8
M6, M2, M7
M2, A6, M7
A4, M2, A1
M5
A3, M8
A4, M2, A5
M2, M8, M1
A6, M3
A2, A6
A4, M9
A6, M2, M1
A3, M6
A4, A2
A3, A6
A4, M2, M1
M2, M8, M7
M6, M9
M4, M8
M6, A2
M6, M2, A1
M6, M2, A5
A4, M2, M7
M2, A6, A1
A3, A4
M8, M3
M2, A6, A5
M4, A6
A4, M3"
13;13;0;0;1,0;"M5, M8
A2
M6, M5
M5, A6
M2, A1
M2, A5
M3
M4
M5, A4
M2, M1
A3
M2, M7
M9"
49;49;0;0;1,0;"M5, M2, A1
M6, M2, M1
A4, M4
M9, M8
M5, A6
M6, M5
M5, M2, A5
M2, M8, A1
M6, M3
M2, M8, A5
M6, M4
A3, M5
M9, A6
A6, M5
A2, M8
M6, M2, M7
M5, M2, M1
M2, A6, M7
A4, M2, A1
A3, M8
A4, M2, A5
M2, M8, M1
A6, M3
M5, M9
A2, A6
A4, M9
A6, M2, M1
A3, M6
M5, A2
M5, A4
M5, M2, M7
A4, A2
A3, A6
A4, M2, M1
M2, M8, M7
M6, M9
M4, M8
M6, A2
M6, M2, A1
M6, M2, A5
A4, M2, M7
M2, A6, A1
A3, A4
M8, M3
M2, A6, A5
M5, M3
M4, A6
A4, M3
M5, M4"
61;12;49;81;0,12903225806451613;"A3, M8, M1
M5, A1
M6, A2, M1
M5, A6
A4, M4
M9, A5
M2, A6
M2, M3
M5, A4
A2, A1
M2, A5
A3, M5
M6, M4
M5, M1
A2, M1
M6, M2
M4, A1
M3, A5
M2, M9
A4, M2
A3, A6
M5, M2
M6, M3
M5, A2
M4, A6
M2, A4
A3, A4
M5, M9
M6, A5
M5, A4
M2, A3
M6, M1
M4, M1
M3, A1
M2, M4
M5, A1
M2, M3
M6, M7
M5, M8
M9, A1
M5, M1
M2, M8
A4, M3
M4, A5
M5, A3
M6, M8
M2, A1
A4, M6
M3, A2
M4, A1
M5, A2
M6, A4
M3, A5
M2, A3
M5, A6
M1, A2
M4, A2
M5, A1
M6, M9
M2, M1
M5, M4"
0;0;0;0;1,0;
1;1;0;0;1,0;A1
0;0;0;0;1,0;
3;3;0;0;1,0;"A1
A2
O1"
0;0;0;0;1,0;
4;4;0;0;1,0;"O2, O3
O1
A1
A2, O2"
4;4;0;0;1,0;"O3
A2
O2, A1
O2, O1"
5;5;0;0;1,0;"A2, A1
A2, O1
O1, O3
O2
A1, O3"
0;0;0;0;1,0;
3;3;0;0;1,0;"A3
A6
A4"
4;4;0;0;1,0;"A1
A7
A2
A5"
12;12;0;0;1,0;"A2, A6
A3, A7
A3, A5
A7, A6
A6, A1
A4, A5
A7, A4
A4, A1
A4, A2
A6, A5
A3, A1
A3, A2"
0;0;0;0;1,0;
3;3;0;0;1,0;"O3
O6
O4"
4;4;0;0;1,0;"O2
O5
O1
O7"
12;12;0;0;1,0;"O2, O6
O2, O3
O1, O6
O1, O3
O4, O5
O4, O1
O7, O4
O4, O2
O5, O6
O5, O3
O7, O6
O7, O3"
0;0;0;0;1,0;
3;3;0;0;1,0;"O2
A2
A4"
4;4;0;0;1,0;"A1
A3
O1
O3"
12;12;0;0;1,0;"A2, O3
O2, O3
A4, O3
A2, A1
O2, A1
A2, O1
O2, O1
A4, A1
A4, O1
A3, A4
A3, O2
A3, A2"
0;0;0;0;1,0;
5;5;0;0;1,0;"A2
O1
A4
A1
O2"
9;9;0;0;1,0;"O3
A3
A2, A1
A2, O1
O2, A1
O2, O1
O4
A4, A2
A4, O2"
21;21;0;0;1,0;"O2, A1
O1, O3
O4, A1
A2, O1
O4, O2
A4, O2
A3, O1
O2, O3
O4, A4
A2, A1
A3, O2
A3, A1
A2, O3
O4, A4
O4, A2
A4, A2
O2, O1
O4, O1
A3, A4
A1, O3
A3, A2"
0;0;0;0;1,0;
5;5;0;0;1,0;"O3
O4, A1
O4, A2
O4, O1
O4, O2"
5;5;0;0;1,0;"A2, O3
O2, O3
O1, O3
O4
A1, O3"
9;9;0;0;1,0;"A2, O3
O2, O3
O4, O3
O4, A1
O4, A2
O4, O1
O1, O3
O4, O2
A1, O3"
0;0;0;0;1,0;
21;21;0;0;1,0;"O1, A5
O4, A6, O3
A3, A4, A6
A4, A5
A6, O4, O1
A6, O2, O1
A4, O2, A6
O5
O4, A4, A6
A3, A6, A1
A6, A2, O1
A3, A6, O3
O2, A6, A1
A4, A2, A6
O4, A6, A1
A3, A6, O1
O2, A6, O3
A1, A5
A2, A6, A1
A2, A6, O3
O3, A5"
29;29;0;0;1,0;"O1, A5
O4, A6, O3
O5, A1
O5, A5
O5, A2, A6
A3, A4, A6
O5, O3
A4, A5
A6, O4, O1
A6, O2, O1
A4, O2, A6
O4, O5, A6
O4, A4, A6
A3, A6, A1
O5, A4
A6, A2, O1
A3, A6, O3
O2, A6, A1
A4, A2, A6
O5, O1
O4, A6, A1
A3, A6, O1
O2, A6, O3
A1, A5
A2, A6, A1
O5, O2, A6
A3, O5, A6
A2, A6, O3
O3, A5"
56;6;50;51;0,10526315789473684;"O4, A6, O3
A3, A4, A5
O2, A1, A5
O5, A2, O3
O4, O1, A5
O2, O1, A5
O5, A4
O4, A1
A4, A2
A3, A6
O5, O3
A3, A5
A2, A6
A4, M2
A3, A1
A2, A5
A3, O1
A2, A1
A4, A6
A3, O5
A2, O1
A4, A1
A2, O3
A1, A5
A3, O2
A2, A4
A1, O5
A4, O2
A1, O3
A2, O5
A3, M1
A1, A2
A4, M1
A3, M2
A1, A4
A5, O1
A2, M1
A3, M4
A1, M2
A4, M3
A2, M4
A1, M5
A3, M5
A2, M3
A1, M4
A4, M5
A2, M5
A1, M3
A3, M6
A4, M6
A1, M6
A2, M6
A3, M7
A4, M7
A1, M7
A2, M7"
9;9;0;0;1,0;"A4, A6
A2
A3
A6, A1
O4
O2
A6, O1
A6, A5
A6, O3"
9;9;0;0;1,0;"O3
A2, A6
O4, A6
O2, A6
A4
O1
A1
A3, A6
A5"
21;21;0;0;1,0;"O5, A2, O3
O5, O2, A4
O4, O5, A1
O2, A5
O4, A5
A3, O5, A4
O4, O5, O3
O5, A2, A4
A2, A5
O5, O2, O1
A3, O5, O1
A3, A5
O4, O5, A4
O5, A2, O1
O5, O2, A1
A3, O5, A1
A6
O5, O2, O3
O4, O5, O1
A3, O5, O3
O5, A2, A1"
0;0;0;45;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;5;0,0;OpenAI Error
0;0;0;49;0,0;OpenAI Error
0;0;0;29;0,0;OpenAI Error
41;8;33;41;0,16326530612244897;"O4, A6, O3
A3, A4, A5
O2, A1, A5
O5, O2
O4, O1, A5
O2, O1, A5
A5, A6, A1
A4, O2, A5
A3, A4, A6
A2, O3, A5
O4, O5, A6
A3, A5
A2, A6
A4, M1
A3, A1
A2, A5
A3, O1
A2, A4
A1, A5
A3, A6
O5, A2
O5, A4
A3, O5
A4, A2
A2, A1
A4, A6
O5, O2
A3, O2
A4, O1
A2, O1
A3, O4
A1, O4
A1, O2
A1, O3
A2, O4
A1, O5
A2, O3
A1, O6
A1, O7
A1, O8
A1, O9"
13;13;0;0;1,0;"O9
A2
O2, A1
O5, O8
O2, A5
O5, O6
O5, A6
O7, O2
O5, A4
O4
O3
A3
O2, O1"
5;5;0;0;1,0;"A6
A4
O5
O8
O6"
0;0;0;153;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
4;4;0;0;1,0;"M2, M4
A1
M1
M2, M3"
0;0;0;4;0,0;OpenAI Error
8;8;0;0;1,0;"M4, A1
M2, M4
M1, M3
M4, M1
M2, A1
M2, M1
A1, M3
M2, M3"
0;0;0;0;1,0;
4;4;0;0;1,0;"O3
O2, A1
O2, O1
O4"
3;3;0;0;1,0;"A1
O2
O1"
8;8;0;0;1,0;"O2, O3
O2, A1
O4, A1
O1, O3
O4, O1
O2, O1
O4, O2
A1, O3"
0;0;0;0;1,0;OpenAI Error
0;0;0;3;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;1;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;3;0,0;OpenAI Error
